wsi_name	tile_name	tile_label
16-1851_HE	16-1851_HE_316tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_35tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_185tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_136tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_136tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_804tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_860tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_232tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_870tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_860tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_713tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_72tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_93tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_234tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_554tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_713tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_640tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_5tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_551tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_232tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_540tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_316tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_855tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_234tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_679tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_811tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_123tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_279tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_486tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_457tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_486tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_72tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_660tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_855tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_123tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_5tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_241tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_499tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_546tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_540tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_811tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_241tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_105tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_804tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_185tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_640tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_654tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_279tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_107tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_679tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_499tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_105tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_107tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_554tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_555tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_457tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_189tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_13tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_13tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_546tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_35tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_555tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_654tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_660tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_189tile_0_level2_17105-109057-17725-109677.png	II
16-1851_HE	16-1851_HE_870tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_93tile_1_level2_14087-108056-14707-108676.png	II
16-1851_HE	16-1851_HE_551tile_1_level2_14087-108056-14707-108676.png	II
